item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
351,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,28/02/2023  12:30  HORAS,PUNO/LAMPA/PUCARA,KM 1251,SUSPENSION DE MEDIDA / PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.04683526,-70.36483314,-15.04683526+-70.36483314,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
344,SI,VIGENTE,TRÁNSITO RESTRINGIDO,06/01/2023,28/02/2023  12:30  HORAS,PUNO/HUANCANE/HUANCANE,KM 59,(DESVIO ACOLLO) SUSPENSION DE MEDIDA / PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.14647022,-69.82126794,-15.14647022+-69.82126794,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP HUANCANE/CEOPOL,HUMANO,PE-34H,VIA JULIACA - PUTINA - SANDIA - AZATA,SI,restringido
352,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,28/02/2023  12:30  HORAS,PUNO/LAMPA/PUCARA,KM 1263+500,SUSPENSION DE MEDIDA / PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.153773,-70.360735,-15.153773+-70.360735,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
348,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,28/02/2023  12:30  HORAS,PUNO/HUANCANE/VILQUE CHICO,KM 21,(CENTRO POBLADO ASIRUNI) SUSPENSION DE MEDIDA / PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.24420392,-69.6803906,-15.24420392+-69.6803906,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP HUANCANE/CEOPOL,HUMANO,PE-34I,VIA HUANCANE - NINANTAYA,SI,restringido
350,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,28/02/2023  12:30  HORAS,PUNO/LAMPA/NICASIO,KM 1280,SUSPENSION DE MEDIDA / PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.27624595,-70.29066775,-15.27624595+-70.29066775,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
349,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,28/02/2023  12:30  HORAS,PUNO/LAMPA/CALAPUJA,KM 1294,SUSPENSION DE MEDIDA / PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.33267057,-70.18806539,-15.33267057+-70.18806539,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
379,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,28/02/2023  12:30  HORAS,PUNO/SAN ROMAN/SAN MIGUEL,KM 04 Y KM 10,SUSPENSION DE MEDIDA / (SECTOR PUENTE INDEPENDENCIA Y CENTRO POBLADO AYABACAS) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.4604171,-70.10074852,-15.4604171+-70.10074852,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-34H,VIA JULIACA - PUTINA - SANDIA - AZATA,SI,restringido
376,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,28/02/2023  12:30  HORAS,PUNO/SAN ROMAN/JULIACA,KM 1 AL KM 30,SUSPENSION DE MEDIDA / PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.48538,-70.152617,-15.48538+-70.152617,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PU-124,VIA JULIACA -LAMPA,SI,restringido
378,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,28/02/2023  12:30  HORAS,PUNO/SAN ROMAN/JULIACA,KM 296,SUSPENSION DE MEDIDA / PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.5034706,-70.1591639,-15.5034706+-70.1591639,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-34A,CARRETERA REPARTICION AREQUIPA - SANTA LUCIA - JULIACA,SI,restringido
377,SI,VIGENTE,TRÁNSITO RESTRINGIDO,04/01/2023,28/02/2023  12:30  HORAS,PUNO/SAN ROMAN/JULIACA,KM 1320,SUSPENSION DE MEDIDA / (SECTOR CARACOTO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.53621928,-70.11438793,-15.53621928+-70.11438793,2023  12:30  HORAS+02+28+,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
