item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
634,SI,VIGENTE,TRÁNSITO RESTRINGIDO,1/4/2023,14/04/2023 12:30 HORAS,PUNO/PUNO/PAUCARCOLLA,KM 1338,(DESVIO A SILLUSTANI) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.69170864,-70.06944614,-15.69170864+-70.06944614,2023 12:30 HORAS+04+14+12:30,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
596,SI,VIGENTE,TRÁNSITO RESTRINGIDO,1/5/2023,14/04/2023 12:30 HORAS,PUNO/CHUCUITO/HUACULLANI,KM 265,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-16.5996369,-69.3617378,-16.5996369+-69.3617378,2023 12:30 HORAS+04+14+12:30,0,0,CEOPOL,HUMANO,PE-36A,CARRETERA MOQUEGUA - TORATA - MAZO CRUZ - DESAGUADERO,SI,restringido
608,SI,VIGENTE,TRÁNSITO RESTRINGIDO,1/5/2023,14/04/2023 12:30 HORAS,PUNO/EL COLLAO/SANTA ROSA,KM 228,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-16.7299997,-69.609475,-16.7299997+-69.609475,2023 12:30 HORAS+04+14+12:30,0,0,CEOPOL,HUMANO,PE-36A,CARRETERA MOQUEGUA - TORATA - MAZO CRUZ - DESAGUADERO,SI,restringido
644,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,3/30/2023,14/04/2023 12:30 HORAS,PUNO/SAN ROMAN/CABANILLAS,KM 271,(SECTOR CABANILLAS) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.6365343,-70.3441306,-15.6365343+-70.3441306,2023 12:30 HORAS+04+14+12:30,0,0,DESPRCAR PNP SANTA LUCIA/CEOPOL,HUMANO,PE-34A,CARRETERA REPARTICION AREQUIPA - SANTA LUCIA - JULIACA,SI,interrumpido
639,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,2/12/2023,14/04/2023 12:30 HORAS,PUNO/PUNO/PUNO,KM 1355,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.8211,-70.029232,-15.8211+-70.029232,2023 12:30 HORAS+04+14+12:30,0,0,DESPRCAR PNP PUNO/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
637,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,12/14/2022,14/04/2023 12:30 HORAS,PUNO/PUNO/PLATERIA,KM 1385,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.94222111,-69.85458823,-15.94222111+-69.85458823,2023 12:30 HORAS+04+14+12:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
638,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,1/5/2023,14/04/2023 12:30 HORAS,PUNO/PUNO/PLATERIA,KM 1387,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.94472157,-69.83547234,-15.94472157+-69.83547234,2023 12:30 HORAS+04+14+12:30,0,0,DESPRCAR PNP PUNO/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
603,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,1/22/2023,14/04/2023 12:30 HORAS,PUNO/EL COLLAO/ILAVE,KM 1414,(PUENTE ILAVE)  PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-16.09155073,-69.6403096,-16.09155073+-69.6403096,2023 12:30 HORAS+04+14+12:30,0,0,DESPRCAR PNP PUNO/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
597,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,1/22/2023,14/04/2023 12:30 HORAS,PUNO/CHUCUITO/JULI,KM 1450,(CENTRO POBLADO MOLINO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-16.22248311,-69.38923449,-16.22248311+-69.38923449,2023 12:30 HORAS+04+14+12:30,0,0,DESPRCAR PNP DESAGUADERO / CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
599,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,1/4/2023,14/04/2023 12:30 HORAS,PUNO/CHUCUITO/ZEPITA,KM 1503,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-16.54005,-69.05961,-16.54005+-69.05961,2023 12:30 HORAS+04+14+12:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
595,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,1/4/2023,14/04/2023 12:30 HORAS,PUNO/CHUCUITO/DESAGUADERO,KM 303,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-16.5846575,-69.0640195,-16.5846575+-69.0640195,2023 12:30 HORAS+04+14+12:30,0,0,CEOPOL,HUMANO,PE-36A,CARRETERA MOQUEGUA - TORATA - MAZO CRUZ - DESAGUADERO,SI,interrumpido
